ts,db,c1_idx,c1_cf,c1_name,c2_idx,c2_cf,c2_name,c3_idx,c3_cf,c3_name
1746657088.565686,-37.3,0,98.9,Speech,2,3.2,Conversation,3,2.1,"Narration, monologue"
1746657091.55347,-38.0,0,99.7,Speech,500,0.6,"Inside, small room",3,0.3,"Narration, monologue"
1746657094.537237,-34.8,0,96.9,Speech,3,1.8,"Narration, monologue",501,0.4,"Inside, large room or hall"
1746657097.5256672,-41.3,0,99.9,Speech,3,1.2,"Narration, monologue",500,0.1,"Inside, small room"
1746657103.502382,-40.1,0,91.7,Speech,501,2.4,"Inside, large room or hall",500,2.2,"Inside, small room"
1746657106.5723891,-43.2,0,98.3,Speech,3,1.5,"Narration, monologue",500,0.6,"Inside, small room"
1746657109.5599291,-45.6,0,90.6,Speech,3,1.7,"Narration, monologue",500,1.5,"Inside, small room"
1746657112.541816,-37.0,0,100.0,Speech,3,0.6,"Narration, monologue",500,0.2,"Inside, small room"
1746657115.528522,-37.0,0,99.9,Speech,3,1.3,"Narration, monologue",500,0.1,"Inside, small room"
1746657118.521437,-39.0,0,100.0,Speech,3,0.5,"Narration, monologue",500,0.0,"Inside, small room"
1746657121.501802,-43.8,0,99.7,Speech,500,2.1,"Inside, small room",3,0.5,"Narration, monologue"
1746657124.575868,-38.7,0,99.5,Speech,3,2.2,"Narration, monologue",2,1.0,Conversation
1746657127.564637,-43.3,0,99.7,Speech,3,1.0,"Narration, monologue",500,0.1,"Inside, small room"
1746657140.689517,-39.7,0,96.8,Speech,500,2.7,"Inside, small room",501,0.9,"Inside, large room or hall"
1746657143.676599,-41.3,0,99.2,Speech,3,5.1,"Narration, monologue",501,0.3,"Inside, large room or hall"
1746657146.663632,-42.1,0,99.7,Speech,500,0.9,"Inside, small room",3,0.5,"Narration, monologue"
1746657149.652308,-40.0,0,98.3,Speech,3,0.6,"Narration, monologue",500,0.5,"Inside, small room"
1746657152.6346319,-38.9,0,100.0,Speech,3,1.7,"Narration, monologue",500,0.2,"Inside, small room"
1746657155.6201642,-40.9,0,99.6,Speech,3,0.5,"Narration, monologue",500,0.1,"Inside, small room"
1746657161.682705,-41.1,0,97.9,Speech,3,2.2,"Narration, monologue",501,1.0,"Inside, large room or hall"
1746657164.6694689,-41.4,0,97.0,Speech,3,2.0,"Narration, monologue",500,1.8,"Inside, small room"
1746657167.655912,-41.1,0,99.8,Speech,2,1.9,Conversation,500,1.5,"Inside, small room"
1746657170.64223,-38.9,0,99.8,Speech,3,1.6,"Narration, monologue",500,0.2,"Inside, small room"
1746657173.625412,-40.5,0,97.3,Speech,500,1.7,"Inside, small room",3,0.5,"Narration, monologue"
1746657176.700473,-41.2,0,99.1,Speech,500,1.7,"Inside, small room",3,0.7,"Narration, monologue"
1746657179.689116,-43.9,0,76.5,Speech,500,5.8,"Inside, small room",381,1.3,Writing
1746657228.143222,-98.3,494,100.0,Silence,0,0.0,Speech,132,0.0,Music
1746657231.128651,-53.6,0,80.6,Speech,494,1.5,Silence,500,0.9,"Inside, small room"
1746657234.116482,-51.9,0,57.9,Speech,494,5.8,Silence,500,2.7,"Inside, small room"
1746657237.101501,-42.1,0,98.9,Speech,3,0.3,"Narration, monologue",500,0.3,"Inside, small room"
1746657240.0869398,-35.7,0,96.9,Speech,500,0.4,"Inside, small room",3,0.4,"Narration, monologue"
